ident,type,name,iso_country,iata_code,icao_code
03N,small_airport,Utirik Airport,MH,UTK,
07FA,medium_airport,Ocean Reef Club Airport,US,OCA,
0CO2,small_airport,Crested Butte Airpark,US,CSE,
0NM0,small_airport,Columbus Airport,US,CUS,
0TE7,small_airport,LBJ Ranch Airport,US,JCY,
13Z,seaplane_base,Loring Seaplane Base,US,WLR,
16A,small_airport,Nunapitchuk Airport,US,NUP,
16K,seaplane_base,Port Alice Seaplane Base,US,PTC,
19AK,small_airport,Icy Bay Airport,US,ICY,
19P,seaplane_base,Port Protection Seaplane Base,US,PPV,
1KC,small_airport,Kalakaket Creek AS Airport,US,KKK,
1O6,small_airport,Dunsmuir Muni-Mott Airport,US,MHS,
1XA2,small_airport,Chase Field Industrial Airport,US,NIR,
1Z1,small_airport,Grand Canyon Bar Ten Airstrip,US,GCT,
1Z9,seaplane_base,Ellamar Seaplane Base,US,ELW,
2AK,small_airport,Lime Village Airport,US,LVD,
2AK6,small_airport,Hog River Airport,US,HGZ,
2IG4,small_airport,Ed-Air Airport,US,OTN,
2K5,small_airport,Telida Airport,US,TLF,
2TE0,small_airport,Eagle Air Park,US,BZT,
2Z1,seaplane_base,Entrance Island Seaplane Base,US,HBH,
2Z6,seaplane_base,False Island Seaplane Base,US,FAK,
38WA,small_airport,Blakely Island Airport,US,BYW,
3AK5,small_airport,Drift River Airport,US,DRF,
3IS8,small_airport,Rinkenberger Restricted Landing Area,US,BDF,
3T4,small_airport,Tetlin Airport,US,TEH,
3VS,small_airport,Roy Otten Memorial Airfield,US,VRS,
3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,US,GDH,
4A2,small_airport,Atmautluak Airport,US,ATT,
4AK,small_airport,Livengood Camp Airport,US,LIV,
4K0,small_airport,Pedro Bay Airport,US,PDB,
4K5,small_airport,Ouzinkie Airport,US,KOZ,
4KA,small_airport,Tununak Airport,US,TNK,
4Z7,seaplane_base,Hyder Seaplane Base,US,WHD,
51Z,small_airport,Minto Al Wright Airport,US,MNT,
57A,seaplane_base,Tokeen Seaplane Base,US,TKI,
5A8,medium_airport,Aleknagik / New Airport,US,WKK,
5KE,seaplane_base,Ketchikan Harbor Seaplane Base,US,WFB,
5MS1,small_airport,Rollang Field,US,RFK,
5NK,small_airport,Naknek Airport,US,NNK,
5Z9,seaplane_base,Lake Brooks Seaplane Base,US,BKF,
65LA,small_airport,Southern Seaplane Airport,US,BCS,
6B6,small_airport,Minute Man Air Field,US,MMN,
6CA3,heliport,Catalina Air-Sea Terminal Heliport,US,SPQ,
6N5,heliport,East 34th Street Heliport,US,TSS,
6N7,seaplane_base,New York Skyports Inc Seaplane Base,US,NYS,
6OK6,small_airport,Earl Henry Airport,US,BWL,
78K,seaplane_base,Yes Bay Lodge Seaplane Base,US,WYB,
78WA,small_airport,Center Island Airport,US,CWS,
7KA,small_airport,Tatitlek Airport,US,TEK,
7NC2,small_airport,Pine Island Airport,US,DUF,
7WA5,small_airport,Stuart Island Airpark,US,SSW,
82CL,small_airport,Fort Bragg Airport,US,FOB,
83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,US,PUL,
84CL,heliport,Century City Heliport,US,CCD,
84K,seaplane_base,Meyers Chuck Seaplane Base,US,WMK,
89NY,small_airport,Maxson Airfield,US,AXB,
8XS8,small_airport,Reese Airpark,US,REE,
90WA,small_airport,Waldron Airstrip,US,WDN,
96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,US,WWP,
9A3,small_airport,Chuathbaluk Airport,US,CHU,
9A8,small_airport,Ugashik Airport,US,UGS,
9CA3,heliport,Recreation and Conference Center Heliport,US,JID,
9N2,seaplane_base,Philadelphia Seaplane Base,US,PSQ,
9Z8,small_airport,Levelock Airport,US,KLL,
A23,seaplane_base,Saginaw Seaplane Base,US,SGW,
A61,small_airport,Tuntutuliak Airport,US,WTL,
A63,small_airport,Twin Hills Airport,US,TWA,
A79,small_airport,Chignik Lake Airport,US,KCQ,
AAD,small_airport,Adado Airport,SO,AAD,HCAD
ABP,small_airport,Atkamba Airport,PG,ABP,
ACM,small_airport,Arica Airport,CO,ACM,
ADV,small_airport,El Daein Airport,SD,ADV,
AE-0001,small_airport,Batha Airport,SA,,OEBT
AE-0026,small_airport,Al Qaffay Airport,AE,,OMQF
AE-0091,small_airport,Lower Yasat Island Airport,AE,,OMAY
AE-0128,small_airport,Liwa Air Base,AE,,OMLW
AE-0221,medium_airport,Sas Al Nakheel Air Base,AE,,OMNK
AE-0237,seaplane_base,Dubai Seaplane Terminal,AE,DST,
AEE,small_airport,Adareil Airport,SS,AEE,
AEQ,small_airport,Ar Horqin Airport,CN,AEQ,
AF-0019,heliport,Toorghodi Heliport,AF,,OATD
AF-0020,small_airport,Andkhoy Airport,AF,,OAAK
AF-0021,small_airport,Logar Airport,AF,,OALG
AF-0023,small_airport,Muqur Airport,AF,,OAMK
AF-0024,small_airport,Panjab Airport,AF,,OAPJ
AF-0025,small_airport,Taywarah Airport,AF,,OATW
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,LK,AFK,
AG-0001,medium_airport,Burton-Nibbs International Airport,AG,BBQ,TAPB
AGAF,small_airport,Afutara Aerodrome,SB,AFT,AGAF
AGAR,small_airport,Ulawa Airport,SB,RNA,AGAR
AGAT,small_airport,Uru Harbour Airport,SB,ATD,AGAT
AGBA,small_airport,Barakoma Airport,SB,VEV,AGBA
AGBT,small_airport,Batuna Aerodrome,SB,BPF,AGBT
AGEV,small_airport,Geva Airport,SB,GEF,AGEV
AGG,small_airport,Angoram Airport,PG,AGG,
AGGA,small_airport,Gwaunaru'u Airport,SB,AKS,AGGA
AGGB,small_airport,Bellona/Anua Airport,SB,BNY,AGGB
AGGC,small_airport,Choiseul Bay Airport,SB,CHY,AGGC
AGGE,small_airport,Ballalae Airport,SB,BAS,AGGE
AGGF,small_airport,Fera/Maringe Airport,SB,FRE,AGGF
AGGH,large_airport,Honiara International Airport,SB,HIR,AGGH
AGGI,small_airport,Babanakira Airport,SB,MBU,AGGI
AGGJ,small_airport,Avu Avu Airport,SB,AVU,AGGJ
AGGK,small_airport,Ngorangora Airport,SB,IRA,AGGK
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,SB,SCZ,AGGL
AGGM,medium_airport,Munda Airport,SB,MUA,AGGM
AGGN,small_airport,Nusatupe Airport,SB,GZO,AGGN
AGGO,small_airport,Mono Airport,SB,MNY,AGGO
AGGP,small_airport,Parasi Airport,SB,PRS,AGGP
AGGR,small_airport,Rennell/Tingoa Airport,SB,RNL,AGGR
AGGS,small_airport,Sege Airport,SB,EGM,AGGS
AGGT,small_airport,Santa Ana Airport,SB,NNB,AGGT
AGGU,small_airport,Marau Airport,SB,RUS,AGGU
AGGV,small_airport,Suavanao Airport,SB,VAO,AGGV
AGGY,small_airport,Yandina Airport,SB,XYA,AGGY
AGIN,heliport,Isuna Heliport,SB,,AGIN
AGK,small_airport,Kagua Airport,PG,AGK,
AGKG,small_airport,Kaghau Airport,SB,KGE,AGKG
AGKU,small_airport,Kukudu Airport,SB,KUE,AGKU
AGKW,small_airport,Kwailabesi Airport,SB,KWS,AGKW
AGLM,small_airport,Lomlom Airport,SB,LLM,AGLM
AGNA,small_airport,Nana Airport,SB,NAZ,AGNA
AGOB,small_airport,Manaoba Airport,SB,MHM,AGOB
AGOK,small_airport,Gatokae Aerodrome,SB,GTA,AGOK
AGRC,small_airport,Ringi Cove Airport,SB,RIN,AGRC
AGRM,small_airport,Ramata Airport,SB,RBV,AGRM
AGTI,heliport,Tulaghi Heliport,SB,TLG,AGTI
AHY,small_airport,Ambatolhy Airport,MG,AHY,
AIP,small_airport,Ailinglaplap Airok Airport,MH,AIC,
AK13,small_airport,Chena Hot Springs Airport,US,CEX,
AK26,small_airport,Solomon State Field,US,SOL,
AK33,small_airport,Herendeen Bay Airport,US,HED,
AK49,small_airport,Taylor Airport,US,TWE,
AK56,seaplane_base,Tikchik Lodge Seaplane Base,US,KTH,
AK62,seaplane_base,Naukati Bay Seaplane Base,US,NKI,
AK75,small_airport,Candle 2 Airport,US,CDL,
AK81,seaplane_base,Amook Bay Seaplane Base,US,AOS,
AK97,small_airport,Boswell Bay Airport,US,BSW,
AKM,small_airport,Zakuoma Airport,TD,AKM,
AL-0019,large_airport,(Duplicate)Vlora International Airport,AL,VLO,LAVL
ALZ,seaplane_base,Alitak Seaplane Base,US,ALZ,
AM-0001,small_airport,Syunik Airport,AM,YUK,UDCK
AME,small_airport,Alto Molocue Airport,MZ,AME,
AMY,small_airport,Ambatomainty Airport,MG,AMY,FMMB
ANYN,medium_airport,Nauru International Airport,NR,INU,ANYN
ANZ,small_airport,Angus Downs Airport,AU,ANZ,
AO-0001,small_airport,Catoca Airport,AO,CTV,
AO-0005,small_airport,Andulo Airport,AO,ANL,
AO-0067,small_airport,Lumbala Airstrip,AO,,FNLM
AO-0074,small_airport,Huambo Airport,AO,,FNNL
AO-CNZ,small_airport,Cangamba Airport,AO,CNZ,
AO-DRC,small_airport,Dirico Airport,AO,DRC,
AO-NDF,small_airport,N'dalatando Airport,AO,NDF,
AOB,small_airport,Annanberg Airport,PG,AOB,
AOD,small_airport,Abou-Deïa Airport,TD,AOD,
APP,small_airport,Asapa Airport,PG,APP,
AQY,small_airport,Girdwood-Alyeska Airport,US,AQY,
AR-0005,small_airport,Bragado Airport,AR,QRF,
AR-0007,small_airport,Caleta Olivia Airport,AR,CVI,
AR-0009,small_airport,Charata Airport,AR,CNT,
AR-0010,small_airport,General Villegas Airport,AR,VGS,
AR-0011,small_airport,Los Menucos Airport,AR,LMD,
AR-0017,small_airport,Valcheta Airport,AR,VCF,
AR-0390,small_airport,Carmen de Patagones Airport,AR,CPG,
AR-0744,medium_airport,Chamical Airport,AR,,SACT
ARP,small_airport,Aragip Airport,PG,ARP,
ASZ,small_airport,Asirim Airport,PG,ASZ,
AT-0001,heliport,Pöchlarn-Wörth Heliport,AT,,LOAL
AT-0050,heliport,Eisenstadt Heliport,AT,,LOAE
AT-0051,heliport,Baden Hospital Helipad,AT,,LOAF
AT-0052,heliport,Horn Heliport,AT,,LOAH
AT-0053,heliport,Krems University Hospital Helipad,AT,,LOAK
AT-0087,heliport,Wien-Meidling Heliport,AT,,LOAM
AT98,medium_airport,(Duplicate)Wolf's Fang Runway,AQ,WFR,
AU-0081,small_airport,Lady Elliot Island Airstrip,AU,LYT,YLTT
AU-0177,heliport,Macquarie Island Station Heliport,AU,,YMQI
AU-0264,small_airport,Skardon River Airport,AU,,YSKR
AU-0456,small_airport,Gruyere Airport,AU,GYZ,
AU-0490,small_airport,Packsaddle Airport,AU,,YPAS
AU-0565,small_airport,Moora Airport,AU,,YMRO
AU-0627,small_airport,Cranbourn Airfield,AU,,YCRN
AU-0748,small_airport,Oakden Hills Airport,AU,,YOKH
AU-0771,small_airport,Wirraminna Airport,AU,,YWIR
AU-0783,small_airport,JDandBoo,AU,,YJBO
AU-0785,small_airport,Woodstock Station,AU,,YWSN
AU-0796,medium_airport,Nackeroo Airfield,AU,,YNKR
AU-AGW,small_airport,Agnew Airport,AU,AGW,
AU-AYD,small_airport,Alroy Downs Airport,AU,AYD,
AU-BYX,small_airport,Baniyala Airport,AU,BYX,
AU-COB,small_airport,Coolibah Airport,AU,COB,
AU-CRJ,small_airport,Coorabie Airport,AU,CRJ,
AU-CRY,small_airport,Carlton Hill Airport,AU,CRY,
AU-CSD,small_airport,Cresswell Downs Airport,AU,CSD,
AU-DYM,small_airport,Diamantina Lakes Airport,AU,DYM,
AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,AU,HIS,
AU-HLV,small_airport,Helenvale Airport,AU,HLV,
AU-KBD,small_airport,Kimberley Downs Airport,AU,KBD,
AU-KGR,small_airport,Kulgera Airport,AU,KGR,
AU-PEP,small_airport,Peppimenarti Airport,AU,PEP,
AU-RDA,small_airport,Rockhampton Downs Airport,AU,RDA,
AU-SSK,small_airport,Sturt Creek Airport,AU,SSK,
AU-SWB,small_airport,Shaw River Airport,AU,SWB,
AU-TWP,small_airport,Torwood Airport,AU,TWP,
AU-ZVG,small_airport,Springvale Airport,AU,ZVG,
AWR,small_airport,Awar Airport (unusable),PG,AWR,
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,CN,AXF,ZBAL
AXO,small_airport,Pantar Kabir Airport,ID,AXO,
AYAA,small_airport,Ama Airport,PG,AMF,AYAA
AYAE,small_airport,Mount Aue Airport,PG,UAE,AYAE
AYAF,small_airport,Afore Airstrip,PG,AFR,AYAF
AYAG,small_airport,Agaun Airport,PG,AUP,AYAG
AYAI,small_airport,Aitape Airport,PG,ATP,AYAI
AYAK,small_airport,Aiambak Airport,PG,AIH,AYAK
AYAM,small_airport,Amanab Airport,PG,AMU,AYAM
AYAN,small_airport,Andakombe Airport,PG,ADC,AYAN
AYAO,small_airport,Aiome Airport,PG,AIE,AYAO
AYAQ,small_airport,Kompiam Airport,PG,KPM,AYAQ
AYAT,small_airport,Ambunti Airport,PG,AUJ,AYAT
AYAU,small_airport,Arou Airstrip,PG,,AYAU
AYAW,small_airport,Awaba Airport,PG,AWB,AYAW
AYAX,small_airport,Aseki Airport,PG,AEK,AYAX
AYAY,small_airport,Aiyura Airport,PG,AYU,AYAY
AYBA,medium_airport,Baimuru Airport,PG,VMU,AYBA
AYBC,small_airport,Bambu Airport,PG,BCP,AYBC
AYBD,small_airport,Bodinumu Airport,PG,BNM,AYBD
AYBF,small_airport,Bamu Airport,PG,BMZ,AYBF
AYBG,small_airport,Baindoung Airport,PG,BDZ,AYBG
AYBH,small_airport,Bensbach Airport,PG,BSP,AYBH
AYBI,small_airport,Bewani Airport,PG,BWP,AYBI
AYBK,medium_airport,Buka Airport,PG,BUA,AYBK
AYBL,small_airport,Bialla Airport,PG,BAA,AYBL
AYBM,medium_airport,Balimo Airport,PG,OPU,AYBM
AYBO,small_airport,Bomai Airport,PG,BMH,AYBO
AYBP,small_airport,Bapi Airstrip,PG,BPD,AYBP
AYBQ,small_airport,Biangabip Airport,PG,BPK,AYBQ
AYBR,small_airport,Biaru Airport,PG,BRP,AYBR
AYBS,small_airport,Begesin Airstrip,PG,,AYBS
AYBT,small_airport,Batri Airstrip,PG,,AYBT
AYBU,small_airport,Bulolo Airport,PG,BUL,AYBU
AYBY,small_airport,Wuyabo Airstrip,PG,,AYBY
AYBZ,small_airport,Biniguni Airport,PG,XBN,AYBZ
AYCB,small_airport,Chungribu Airport,PG,CVB,AYCB
AYCG,small_airport,Cape Gloucester Airport,PG,CGC,AYCG
AYCH,medium_airport,Chimbu Airport,PG,CMU,AYCH
AYCN,small_airport,Changriwa Airstrip,PG,,AYCN
AYCS,small_airport,China Strait Airstrip,PG,SQT,AYCS
AYDB,small_airport,Debepare Airport,PG,DBP,AYDB
AYDD,small_airport,Dobu Airstrip,PG,,AYDD
AYDE,small_airport,Derim Airport,PG,DER,AYDE
AYDI,small_airport,Bundi Airport,PG,BNT,AYDI
AYDK,small_airport,Munduku Airport,PG,MDM,AYDK
AYDL,small_airport,Kondobol Airport,PG,KPF,AYDL
AYDN,small_airport,Dinangat Airport,PG,DNU,AYDN
AYDO,small_airport,Doini Airport,PG,DOI,AYDO
AYDP,small_airport,Tsendiap Airstrip,PG,,AYDP
AYDQ,small_airport,Dimisisi Airstrip,PG,,AYDQ
AYDR,small_airport,Dorobisoro Airport,PG,DOO,AYDR
AYDS,small_airport,Dusin Airport,PG,,AYDS
AYDU,medium_airport,Daru Airport,PG,DAU,AYDU
AYDW,small_airport,Dewara Airstrip,PG,,AYDW
AYDY,small_airport,Sindeni Airstrip,PG,,AYDY
AYEA,small_airport,Kerau Airport,PG,KRU,AYEA
AYEB,small_airport,Embessa Airport,PG,EMS,AYEB
AYED,small_airport,Edwaki Airport,PG,XYR,AYED
AYEE,small_airport,Emirau Airport,PG,EMI,AYEE
AYEF,small_airport,Efogi Airport,PG,EFG,AYEF
AYEG,small_airport,Mengina Airstrip,PG,,AYEG
AYEH,small_airport,Morehead Airport,PG,MHY,AYEH
AYEI,small_airport,Milei Airstrip,PG,,AYEI
AYEK,small_airport,Membok Airstrip,PG,,AYEK
AYEL,small_airport,Eliptamin Airport,PG,EPT,AYEL
AYEM,small_airport,Eleme Airstrip,PG,,AYEM
AYEN,small_airport,Engati Airstrip,PG,EGA,AYEN
AYEO,small_airport,Emo River Airstrip,PG,EMO,AYEO
AYER,small_airport,Erume Airport,PG,ERU,AYER
AYES,small_airport,Meselia Airport,PG,MFZ,AYES
AYET,small_airport,Bosset Airport,PG,BOT,AYET
AYEU,small_airport,Eloaua Airstrip,PG,,AYEU
AYEV,small_airport,Erave Airport,PG,ERE,AYEV
AYEW,small_airport,Siwea Airport,PG,SWE,AYEW
AYFA,small_airport,Fane Airport,PG,FNE,AYFA
AYFE,small_airport,Feramin Airport,PG,FRQ,
AYFF,small_airport,Faia Airport,PG,,AYFF
AYFI,small_airport,Finschhafen Airport,PG,FIN,AYFI
AYFR,small_airport,Frieda River Airport,PG,FAQ,AYFR
AYFU,small_airport,Fuma Airport,PG,FUM,AYFU
AYGA,medium_airport,Goroka Airport,PG,GKA,AYGA
AYGC,small_airport,Gewoia Airport,PG,GEW,AYGC
AYGF,small_airport,Guari Airport,PG,GUG,AYGF
AYGG,small_airport,Garasa Airport,PG,GRL,AYGG
AYGI,small_airport,Garaina Airport,PG,GAR,AYGI
AYGJ,small_airport,Guasopa Airport,PG,GAZ,AYGJ
AYGL,small_airport,Gonaili Airport,PG,GOE,AYGL
AYGN,medium_airport,Gurney Airport,PG,GUR,AYGN
AYGP,small_airport,Gusap Airport,PG,GAP,AYGP
AYGR,medium_airport,Girua Airport,PG,PNP,AYGR
AYGS,small_airport,Gasuke Airport,PG,GBC,AYGS
AYGT,small_airport,Gasmata Island Airport,PG,GMI,AYGT
AYGU,small_airport,Anguganak Airport,PG,AKG,AYGU
AYGV,small_airport,Green River Airport,PG,GVI,AYGV
AYGX,small_airport,Gora Airstrip,PG,GOC,AYGX
AYHB,small_airport,Habi Airport,PG,HBD,AYHB
AYHE,small_airport,Heiweni Airport,PG,HNI,AYHE
AYHF,small_airport,Hayfields Airport,PG,HYF,AYHF
AYHH,small_airport,Honinabi Airport,PG,HNN,AYHH
AYHK,medium_airport,Hoskins Airport,PG,HKN,AYHK
AYHO,small_airport,Haivaro Airport,PG,HIT,AYHO
AYHU,small_airport,Hawabango Airport,PG,HWA,AYHU
AYIA,small_airport,Nissan Island Airport,PG,IIS,AYIA
AYID,small_airport,Indagen Airport,PG,IDN,AYID
AYII,small_airport,Imane Airport,PG,IMN,AYII
AYIM,small_airport,Kungim Airport,PG,KGM,AYIM
AYIO,small_airport,Imonda Airport,PG,IMD,AYIO
AYIQ,small_airport,Aropa Airport,PG,KIE,AYIQ
AYIU,small_airport,Ialibu Airport,PG,IAL,
AYIW,small_airport,Wasua Airport,PG,WSA,AYIW
AYIX,small_airport,Witu Airport,PG,WIU,AYIX
AYIY,small_airport,Miyanmin Airport,PG,MPX,AYIY
AYJO,small_airport,Yongai Airport,PG,KGH,AYJO
AYJS,small_airport,Josephstaal Airport,PG,JOP,AYJS
AYKA,small_airport,Losuia Airport,PG,LSA,AYKA
AYKB,small_airport,Kabwum,PG,KBM,AYKB
AYKC,small_airport,Kandrian Airport,PG,KDR,AYKC
AYKD,small_airport,Kamina Airport,PG,KMF,AYKD
AYKG,small_airport,Kopiago Airport,PG,KPA,AYKG
AYKH,small_airport,Kamulai Airport,PG,KAQ,AYKH
AYKI,small_airport,Kiunga Airport,PG,UNG,AYKI
AYKJ,small_airport,Kanainj Airport,PG,KNE,AYKJ
AYKK,small_airport,Kikori Airport,PG,KRI,AYKK
AYKM,medium_airport,Kerema Airport,PG,KMA,AYKM
AYKO,small_airport,Kokoda Airport,PG,KKD,AYKO
AYKQ,small_airport,Kagi Airport,PG,KGW,AYKQ
AYKR,small_airport,Kar Kar Airport,PG,KRX,AYKR
AYKT,small_airport,Kaintiba Airport,PG,KZF,AYKT
AYKU,small_airport,Kuri Airport,PG,KUQ,AYKU
AYKV,medium_airport,Kavieng Airport,PG,KVG,AYKV
AYKW,small_airport,Kawito Airport,PG,KWO,AYKW
AYKY,small_airport,Londolovit Airport,PG,LNV,AYKY
AYLB,small_airport,Lab Lab Airport,PG,LAB,AYLB
AYLG,small_airport,Keglsugl Airport,PG,KEG,AYLG
AYLI,small_airport,Kibuli Airstrip,PG,KII,AYLI
AYLL,small_airport,Linga Linga Airport,PG,LGN,AYLL
AYLN,small_airport,Langimar Airport,PG,LNM,AYLN
AYLO,small_airport,Lowai Airport,PG,LWI,AYLO
AYLP,small_airport,Leron Plains Airport,PG,LPN,AYLP
AYLS,small_airport,Lese Airport,PG,LNG,AYLS
AYLT,small_airport,Lengbati Airport,PG,LNC,AYLT
AYLU,small_airport,Lumi Airport,PG,LMI,AYLU
AYLX,small_airport,Long Island Airport,PG,LSJ,AYLX
AYM,seaplane_base,Yas Island Seaplane Base,AE,AYM,
AYMA,small_airport,Manari Airport,PG,MRM,AYMA
AYMB,small_airport,Morobe Airport,PG,OBM,AYMB
AYMC,small_airport,Menyamya Airport,PG,MYX,AYMC
AYMD,medium_airport,Madang Airport,PG,MAG,AYMD
AYMH,medium_airport,Mount Hagen Kagamuga Airport,PG,HGU,AYMH
AYMI,small_airport,Mindik Airport,PG,MXK,AYMI
AYMJ,small_airport,Makini Airport,PG,MPG,AYMJ
AYML,small_airport,Mougulu Airport,PG,GUV,AYML
AYMN,medium_airport,Mendi Airport,PG,MDU,AYMN
AYMO,medium_airport,Momote Airport,PG,MAS,AYMO
AYMP,small_airport,Malalaua Airport,PG,MLQ,AYMP
AYMQ,small_airport,Malam Airport,PG,MQO,AYMQ
AYMR,small_airport,Moro Airport,PG,MXH,AYMR
AYMS,small_airport,Misima Island Airport,PG,MIS,AYMS
AYMV,small_airport,Malekolon Airport,PG,MKN,AYMV
AYMW,small_airport,Marawaka Airport,PG,MWG,AYMW
AYMZ,small_airport,Mapua(Mabua) Airport,PG,MPU,AYMZ
AYNA,small_airport,Nankina Airport,PG,NKN,AYNA
AYNB,small_airport,Kanabea Airport,PG,KEX,AYNB
AYNC,small_airport,Nadunumu Airport,PG,NDN,AYNC
AYND,small_airport,Aua Island Airport,PG,AUI,AYND
AYNE,small_airport,Negarbo(Negabo) Airport,PG,GBF,AYNE
AYNG,small_airport,Manguna Airport,PG,MFO,
AYNI,small_airport,Nuguria Airstrip,PG,NUG,AYNI
AYNJ,small_airport,Namudi Airport,PG,NDI,AYNJ
AYNM,small_airport,Kasonombe Airport,PG,KSB,AYNM
AYNN,small_airport,Kandep Airport,PG,KDP,AYNN
AYNO,small_airport,Nomane Airport,PG,NMN,AYNO
AYNS,small_airport,Bunsil Airport,PG,BXZ,AYNS
AYNU,small_airport,Nuku Airport,PG,UKU,AYNU
AYNX,small_airport,Namatanai Airport,PG,ATN,AYNX
AYNY,small_airport,Nambaiyufa Airport,PG,NBA,AYNY
AYNZ,large_airport,Nadzab Tomodachi International Airport,PG,LAE,AYNZ
AYOB,small_airport,Obo Airport,PG,OBX,AYOB
AYOE,small_airport,Konge Airport,PG,KGB,AYOE
AYOF,small_airport,Okao Airport,PG,OKV,AYOF
AYOG,small_airport,Ogeranang Airport,PG,OGE,AYOG
AYOJ,small_airport,Oksapmin Airport,PG,OKP,AYOJ
AYOK,small_airport,Komako Airport,PG,HOC,AYOK
AYOL,small_airport,Kol Airport,PG,KQL,AYOL
AYOM,small_airport,Omora Airport,PG,OSE,AYOM
AYOO,small_airport,Komo-Manda Airport,PG,KOM,AYOO
AYOP,small_airport,Kosipe Airport,PG,KSP,AYOP
AYOQ,small_airport,Komaio Airport,PG,KCJ,AYOQ
AYOV,small_airport,Olsobip Airport,PG,OLQ,AYOV
AYOW,small_airport,Koroba Airport,PG,KDE,AYOW
AYOY,small_airport,Open Bay Airport,PG,OPB,
AYPB,small_airport,Paiela Airport,PG,PLE,AYPB
AYPC,small_airport,Pangoa Airport,PG,PGB,AYPC
AYPD,small_airport,Pindiu Airport,PG,PDI,AYPD
AYPE,small_airport,April River Airport,PG,APR,AYPE
AYPG,small_airport,Pangia Airport,PG,PGN,AYPG
AYPJ,small_airport,Pimaga Airport,PG,PMP,AYPJ
AYPO,small_airport,Mapoda Airport,PG,MPF,AYPO
AYPQ,small_airport,Pumani Airport,PG,PMN,AYPQ
AYPU,small_airport,Walluanda Airport,PG,WLU,
AYPY,large_airport,Port Moresby Jacksons International Airport,PG,POM,AYPY
AYQA,small_airport,Karawari Airstrip,PG,KRJ,AYQA
AYQL,small_airport,Tumolbil Airport,PG,TLP,AYQL
AYQO,small_airport,Sopu Airport,PG,SPH,AYQO
AYQQ,small_airport,Ononge Airport,PG,ONB,AYQQ
AYQS,small_airport,Sialum Airport,PG,SXA,AYQS
AYRA,small_airport,Kira Airport,PG,KIQ,AYRA
AYRE,small_airport,Raba Raba Airport,PG,RBP,AYRE
AYRG,small_airport,Rumginae Airport,PG,RMN,AYRG
AYRI,small_airport,Karimui Airport,PG,KMR,AYRI
AYRK,small_airport,Kairuku Airport,PG,RKU,AYRK
AYRM,small_airport,Maramuni Airport,PG,MWI,AYRM
AYRO,small_airport,Kakoro(Koroko) Airstrip,PG,KOR,AYRO
AYRV,small_airport,May River Airstrip,PG,MRH,
AYSA,small_airport,Suabi Airport,PG,SBE,AYSA
AYSD,small_airport,Saidor Airport,PG,SDI,AYSD
AYSE,small_airport,Simberi Airport,PG,NIS,AYSE
AYSF,small_airport,Safia Airport,PG,SFU,AYSF
AYSG,small_airport,Sila Airport,PG,SIL,AYSG
AYSH,small_airport,Sabah Airport,PG,SBV,AYSH
AYSJ,small_airport,Simbai Airport,PG,SIM,AYSJ
AYSK,small_airport,Sengapi Airstrip,PG,SGK,AYSK
AYSL,small_airport,Sehulea Airport,PG,SXH,AYSL
AYSO,small_airport,Selbang Airport,PG,SBC,AYSO
AYSP,small_airport,Sapmanga Airport,PG,SMH,AYSP
AYSQ,small_airport,Sepik Plains Airport,PG,SPV,
AYSS,small_airport,Sasereme Airport,PG,TDS,AYSS
AYSU,small_airport,Suki Airport,PG,SKC,AYSU
AYSV,small_airport,Sauren Airport,PG,SXW,AYSV
AYSW,small_airport,Satwag Airport,PG,SWG,AYSW
AYSX,small_airport,Masa Airport,PG,MBV,AYSX
AYTA,small_airport,Tari Airport,PG,TIZ,AYTA
AYTB,small_airport,Tabubil Airport,PG,TBG,AYTB
AYTE,small_airport,Telefomin Airport,PG,TFM,AYTE
AYTF,small_airport,Tetebedi Airport,PG,TDB,AYTF
AYTG,small_airport,Tagula Airport,PG,TGL,AYTG
AYTH,small_airport,Tifalmin Airport,PG,TFB,AYTH
AYTI,small_airport,Tapini Airport,PG,TPI,AYTI
AYTK,medium_airport,Tokua Airport,PG,RAB,AYTK
AYTN,small_airport,Tekin Airport,PG,TKW,AYTN
AYTO,small_airport,Kamberatoro Airport,PG,KDQ,AYTO
AYTP,small_airport,Tep Tep Airport,PG,TEP,AYTP
AYTR,small_airport,Tarabo Airport,PG,TBQ,AYTR
AYTS,small_airport,Tsewi Airport,PG,TSW,AYTS
AYTT,small_airport,Tarakbits Airport,PG,TRJ,AYTT
AYTU,small_airport,Tufi Airport,PG,TFI,AYTU
AYTV,small_airport,Timbunke Airport,PG,TBE,AYTV
AYTW,small_airport,Tawa Airport,PG,TWY,AYTW
AYTY,small_airport,Terapo Airport,PG,TEO,AYTY
AYTZ,small_airport,Tekadu Airport,PG,TKB,AYTZ
AYUC,small_airport,Umba Airport,PG,UMC,AYUC
AYUE,small_airport,Uroubi Airport,PG,URU,AYUE
AYUI,small_airport,Buin Airport,PG,UBI,AYUI
